id,name,term,students,with_grades,graded_subs,grade_mean,grade_std,grade_source
86689,GESTIÓN DEL TALENTO-P01,336,40,40,8,80.30275,7.679155222907008,CANVAS
86161,INGLÉS II-P01,336,26,0,0,,,EXTERNAL/NONE
86153,PLANIFICACIÓN ESTRATÉGICA-P02,336,39,0,0,,,EXTERNAL/NONE
86155,DERECHO TRIBUTARIO-P01,336,36,0,0,,,EXTERNAL/NONE
86177,PLANIFICACIÓN ESTRATÉGICA-P01,336,29,0,0,,,EXTERNAL/NONE
86179,DERECHO TRIBUTARIO-P02,336,28,0,0,,,EXTERNAL/NONE
76755,PENSAMIENTO MATEMÁTICO-P03,322,44,17,0,93.58823529411765,2.787763673193597,CANVAS
86676,FUND DE BUSINESS ANALYTICS-P01,336,40,23,0,96.3791304347826,5.689174245150382,CANVAS
86677,MATEMÁTICAS PARA LOS NEGOCIOS-P0,336,43,0,0,,,EXTERNAL/NONE
86686,MATEMÁTICAS PARA LOS NEGOCIOS-P0,336,41,0,0,,,EXTERNAL/NONE
85822,LAB DE CONTABILIDAD Y COSTOS-P01,336,39,0,0,,,EXTERNAL/NONE
86673,LAB DE CONTABILIDAD Y COSTOS-P04,336,39,0,0,,,EXTERNAL/NONE
86005,TALL DE COMPETENCIAS DIGITALES-P,336,50,48,73,85.95041666666667,5.326212287018692,CANVAS
86020,TALL DE COMPETENCIAS DIGITALES-P,336,51,47,63,83.60191489361702,7.379628266685187,CANVAS
86670,FUND DE BUSINESS ANALYTICS-P02,336,39,0,0,,,EXTERNAL/NONE
85825,GESTIÓN DEL TALENTO-P02,336,39,0,0,,,EXTERNAL/NONE
86675,INGLÉS II-P03,336,28,0,0,,,EXTERNAL/NONE
85481,PENSAMIENTO MATEMÁTICO-P05,336,17,0,0,,,EXTERNAL/NONE
82725,LAB DE METOD CONT EV. CICLO-P03,336,23,0,0,,,EXTERNAL/NONE
84947,EST APLIC A BUSINESS ANALYTICS-P,336,36,0,0,,,EXTERNAL/NONE
84939,EST APLIC A BUSINESS ANALYTICS-P,336,25,0,0,,,EXTERNAL/NONE
