user_id,module_completion_pct,avg_completion_rank,early_access_score,activity_span_days,total_page_views,dominant_time_of_day,final_score,course_id
65280,1.0,0.65,0.35,69,208,morning,94.44,84936
64515,1.0,0.2833333333333333,0.7166666666666667,123,272,afternoon,100.0,84936
86667,1.0,0.7416666666666667,0.2583333333333333,27,75,afternoon,0.0,84936
90124,1.0,0.6166666666666667,0.3833333333333333,82,199,morning,100.0,84936
91026,1.0,0.6666666666666666,0.33333333333333337,42,100,afternoon,0.0,84936
88467,1.0,0.325,0.675,74,189,afternoon,100.0,84936
89878,1.0,0.4666666666666666,0.5333333333333334,97,256,afternoon,100.0,84936
114072,1.0,0.17500000000000002,0.825,132,1415,afternoon,100.0,84936
86813,1.0,0.35000000000000003,0.6499999999999999,111,461,evening,100.0,84936
90909,1.0,0.6,0.4,99,307,morning,100.0,84936
91423,1.0,0.4166666666666667,0.5833333333333333,70,194,afternoon,100.0,84936
39584,1.0,0.15,0.85,69,305,afternoon,94.44,84936
89252,1.0,0.5416666666666666,0.45833333333333337,47,185,afternoon,100.0,84936
89382,1.0,0.6,0.4,73,335,afternoon,0.0,84936
87207,1.0,0.5416666666666666,0.45833333333333337,69,201,afternoon,100.0,84936
86824,1.0,0.8416666666666668,0.15833333333333321,27,141,afternoon,0.0,84936
89774,1.0,0.19999999999999998,0.8,77,338,afternoon,100.0,84936
82222,1.0,0.6583333333333333,0.3416666666666667,52,357,afternoon,77.78,84936
90158,1.0,0.39999999999999997,0.6000000000000001,74,147,evening,0.0,84936
86579,1.0,0.35000000000000003,0.6499999999999999,50,256,night,94.44,84936
91444,1.0,0.45,0.55,76,157,afternoon,94.44,84936
89397,1.0,0.975,0.025000000000000022,1,43,afternoon,0.0,84936
90041,1.0,0.5666666666666668,0.43333333333333324,44,160,morning,100.0,84936
87609,1.0,0.5333333333333333,0.4666666666666667,98,214,afternoon,94.44,84936
88378,1.0,0.4166666666666667,0.5833333333333333,44,261,afternoon,94.44,84936
86858,1.0,0.6833333333333332,0.31666666666666676,44,389,afternoon,100.0,84936
65613,1.0,0.26666666666666666,0.7333333333333334,62,415,evening,0.0,84936
86350,1.0,0.15833333333333335,0.8416666666666667,55,333,afternoon,100.0,84936
91343,1.0,1.0,0.0,20,28,night,0.0,84936
89047,1.0,0.5333333333333333,0.4666666666666667,58,236,evening,0.0,84936
88793,1.0,0.6166666666666667,0.3833333333333333,47,124,afternoon,100.0,84936
114020,1.0,0.35833333333333334,0.6416666666666666,71,527,afternoon,100.0,84936
90341,1.0,0.25833333333333336,0.7416666666666667,118,582,afternoon,88.89,84936
107496,1.0,0.65,0.35,112,98,afternoon,0.0,84936
89322,1.0,0.8083333333333332,0.19166666666666676,47,67,morning,94.44,84936
81133,1.0,0.25,0.75,48,464,afternoon,0.0,84936
86640,1.0,0.39999999999999997,0.6000000000000001,78,414,afternoon,94.44,84936
89330,1.0,0.3416666666666666,0.6583333333333334,97,276,afternoon,100.0,84936
90356,1.0,0.4666666666666666,0.5333333333333334,47,166,afternoon,88.89,84936
40057,1.0,0.4916666666666667,0.5083333333333333,28,114,afternoon,88.89,84936
90878,1.0,0.7000000000000001,0.29999999999999993,28,187,night,94.44,84936
64002,1.0,0.9142857142857143,0.08571428571428574,49,85,afternoon,0.0,84941
87303,1.0,0.6857142857142856,0.3142857142857144,51,121,afternoon,0.0,84941
91787,1.0,0.7523809523809524,0.24761904761904763,43,285,afternoon,83.33,84941
89229,1.0,0.4952380952380952,0.5047619047619047,66,233,evening,0.0,84941
89618,1.0,0.8857142857142857,0.11428571428571432,119,88,afternoon,0.0,84941
87315,1.0,0.5238095238095237,0.4761904761904763,123,292,afternoon,0.0,84941
87188,1.0,0.4666666666666666,0.5333333333333334,72,303,afternoon,50.0,84941
87839,1.0,0.5047619047619047,0.49523809523809526,78,113,afternoon,0.0,84941
90016,1.0,0.1523809523809524,0.8476190476190476,122,224,afternoon,0.0,84941
87718,1.0,0.8571428571428572,0.1428571428571428,123,49,afternoon,0.0,84941
89894,1.0,0.39999999999999997,0.6000000000000001,75,310,afternoon,83.33,84941
90156,1.0,0.4380952380952381,0.5619047619047619,129,148,afternoon,0.0,84941
89907,1.0,0.22857142857142856,0.7714285714285715,104,455,evening,83.33,84941
84148,1.0,0.5333333333333333,0.4666666666666667,104,297,afternoon,83.33,84941
87988,1.0,0.8095238095238096,0.19047619047619035,49,86,evening,100.0,84941
67640,1.0,0.4666666666666666,0.5333333333333334,123,162,afternoon,83.33,84941
85817,1.0,0.14285714285714288,0.8571428571428571,57,175,afternoon,0.0,84941
82360,1.0,0.3142857142857143,0.6857142857142857,64,186,afternoon,0.0,84941
90177,1.0,0.4476190476190476,0.5523809523809524,56,194,evening,0.0,84941
81602,1.0,0.7333333333333334,0.2666666666666666,90,123,afternoon,0.0,84941
88268,1.0,0.20952380952380953,0.7904761904761904,80,232,afternoon,100.0,84941
87886,1.0,0.6857142857142856,0.3142857142857144,84,279,afternoon,0.0,84941
89681,1.0,0.29523809523809524,0.7047619047619047,125,193,afternoon,100.0,84941
91729,1.0,0.3238095238095238,0.6761904761904762,98,444,afternoon,100.0,84941
85203,1.0,0.6761904761904761,0.3238095238095239,105,349,afternoon,100.0,84941
87123,1.0,0.19999999999999998,0.8,56,137,afternoon,0.0,84941
88919,1.0,0.4285714285714286,0.5714285714285714,68,220,afternoon,0.0,84941
89048,1.0,0.26666666666666666,0.7333333333333334,74,398,evening,0.0,84941
88283,1.0,0.3238095238095238,0.6761904761904762,90,293,afternoon,83.33,84941
86886,1.0,0.5428571428571428,0.4571428571428572,104,20,afternoon,0.0,84941
88937,1.0,0.9428571428571427,0.05714285714285727,42,104,afternoon,0.0,84941
88299,1.0,0.36190476190476195,0.638095238095238,129,250,afternoon,83.33,84941
91765,1.0,0.7428571428571429,0.2571428571428571,58,166,afternoon,100.0,84941
81015,1.0,0.45714285714285713,0.5428571428571429,97,376,afternoon,100.0,84941
87160,1.0,0.30476190476190473,0.6952380952380952,113,149,afternoon,0.0,84941
91257,1.0,0.4761904761904762,0.5238095238095237,72,138,afternoon,0.0,84941
