course_id,name,account_id,term_id,term_name,total_students,n_students_with_grades,grade_mean,grade_variance,pass_rate,n_assignments,n_modules,recommendation
87299,ECUACIONES DIFERENCIALES-P01,263,336,Segundo Semestre - 2025-Periodo Completo,21,21,53.15904761904763,35.14814753701035,0.47619047619047616,21,20,HIGH POTENTIAL
81837,ÁLGEBRA-P01,263,336,Segundo Semestre - 2025-Periodo Completo,55,55,39.80672727272728,26.656137826675316,0.34545454545454546,28,20,HIGH POTENTIAL
87294,FÍSICA MECÁNICA-P01,263,336,Segundo Semestre - 2025-Periodo Completo,26,26,53.01692307692307,18.606908512127912,0.6153846153846154,27,19,HIGH POTENTIAL
81848,ÁLGEBRA-P04,263,336,Segundo Semestre - 2025-Periodo Completo,54,54,59.10870370370368,15.74125072049683,0.7037037037037037,29,20,HIGH POTENTIAL
81843,CÁLCULO I-P04,263,336,Segundo Semestre - 2025-Periodo Completo,53,53,65.14188679245282,15.684896479482727,0.6981132075471698,30,21,HIGH POTENTIAL
87289,CÁLCULO II-P01,263,336,Segundo Semestre - 2025-Periodo Completo,27,27,83.4851851851852,31.13825435416966,0.8888888888888888,28,21,MEDIUM POTENTIAL
87290,ÁLGEBRA LINEAL-P01,263,336,Segundo Semestre - 2025-Periodo Completo,30,30,36.07000000000001,11.852410725249104,0.03333333333333333,44,20,MEDIUM POTENTIAL
81850,CÁLCULO I-P01,263,336,Segundo Semestre - 2025-Periodo Completo,53,53,17.50698113207547,11.392432540433287,0.018867924528301886,28,21,MEDIUM POTENTIAL
81841,PROGRAMACIÓN-P01,263,336,Segundo Semestre - 2025-Periodo Completo,50,50,34.342999999999996,42.79890981088187,0.36,1,10,LOW - Few assignments
86046,ELECT. Y ELECTROMAGNETISMO-P05,263,336,Segundo Semestre - 2025-Periodo Completo,29,29,9.561724137931034,4.981141033223777,0.0,86,40,LOW - Low grade variance
86049,ELECT. Y ELECTROMAGNETISMO-P01,263,336,Segundo Semestre - 2025-Periodo Completo,30,30,4.477333333333334,3.685216351254775,0.0,86,41,LOW - Low grade variance
82672,CÁLCULO III-P01,263,336,Segundo Semestre - 2025-Periodo Completo,46,46,0.0,0.0,0.0,28,22,LOW - Low grade variance
81854,PROGRAMACIÓN-P04,263,336,Segundo Semestre - 2025-Periodo Completo,51,0,0.0,0.0,,8,10,SKIP - No grades
82640,TERMODINÁMICA-P01,263,336,Segundo Semestre - 2025-Periodo Completo,35,0,0.0,0.0,,0,10,SKIP - No grades
82641,INGLÉS TÉCNICO I-P02,263,336,Segundo Semestre - 2025-Periodo Completo,37,0,0.0,0.0,,0,10,SKIP - No grades
82642,INGLÉS TÉCNICO IV-P02,263,336,Segundo Semestre - 2025-Periodo Completo,29,0,0.0,0.0,,1,10,SKIP - No grades
82643,CONSUL DE EMP (A S) (EV CICLO)-P01,263,336,Segundo Semestre - 2025-Periodo Completo,33,0,0.0,0.0,,0,10,SKIP - No grades
82644,ADM. Y DIRECCIÓN DE PROY.-P01,263,336,Segundo Semestre - 2025-Periodo Completo,38,0,0.0,0.0,,0,10,SKIP - No grades
82646,SIMULACIÓN DE PROCESOS-P01,263,336,Segundo Semestre - 2025-Periodo Completo,55,0,0.0,0.0,,0,10,SKIP - No grades
82648,MICROECONOMÍA-P01,263,336,Segundo Semestre - 2025-Periodo Completo,22,0,0.0,0.0,,0,10,SKIP - No grades
82651,FINANZAS-P01,263,336,Segundo Semestre - 2025-Periodo Completo,35,0,0.0,0.0,,0,10,SKIP - No grades
82654,GESTIÓN DE OPERACIONES II-P01,263,336,Segundo Semestre - 2025-Periodo Completo,33,0,0.0,0.0,,1,10,SKIP - No grades
82655,CIENCIA RESISTENCIA MATERIALES-P01,263,336,Segundo Semestre - 2025-Periodo Completo,59,0,0.0,0.0,,0,10,SKIP - No grades
82656,PLAN DE NEGOCIOS-P01,263,336,Segundo Semestre - 2025-Periodo Completo,40,0,0.0,0.0,,0,10,SKIP - No grades
82657,GESTIÓN ESTRATÉGICA-P01,263,336,Segundo Semestre - 2025-Periodo Completo,47,0,0.0,0.0,,0,10,SKIP - No grades
82659,MICROECONOMÍA-P03,263,336,Segundo Semestre - 2025-Periodo Completo,29,0,0.0,0.0,,0,8,SKIP - No grades
82660,INVESTIGACIÓN OPERATIVA-P02,263,336,Segundo Semestre - 2025-Periodo Completo,30,0,0.0,0.0,,1,10,SKIP - No grades
82661,TALLER DE APLIC IND (EV CICLO)-P02,263,336,Segundo Semestre - 2025-Periodo Completo,29,0,0.0,0.0,,0,10,SKIP - No grades
82665,INGLÉS TÉCNICO IV-P01,263,336,Segundo Semestre - 2025-Periodo Completo,25,0,0.0,0.0,,1,13,SKIP - No grades
82666,INVESTIGACIÓN OPERATIVA-P01,263,336,Segundo Semestre - 2025-Periodo Completo,27,0,0.0,0.0,,0,10,SKIP - No grades
82667,DCHO EMPRESA Y AMBIENTAL (A S)-P02,263,336,Segundo Semestre - 2025-Periodo Completo,51,0,0.0,0.0,,0,10,SKIP - No grades
82669,E COMMERCE ,263,336,Segundo Semestre - 2025-Periodo Completo,32,0,0.0,0.0,,0,10,SKIP - No grades
82670,FINANZAS-P02,263,336,Segundo Semestre - 2025-Periodo Completo,33,0,0.0,0.0,,7,10,SKIP - No grades
82674,INGLÉS TÉCNICO I-P01,263,336,Segundo Semestre - 2025-Periodo Completo,40,0,0.0,0.0,,1,14,SKIP - No grades
82675,TEORÍA ORGANIZACIONAL-P01,263,336,Segundo Semestre - 2025-Periodo Completo,37,0,0.0,0.0,,1,10,SKIP - No grades
82677,E COMMERCE ,263,336,Segundo Semestre - 2025-Periodo Completo,26,0,0.0,0.0,,0,10,SKIP - No grades
82678,TERMODINÁMICA-P03,263,336,Segundo Semestre - 2025-Periodo Completo,32,0,0.0,0.0,,0,30,SKIP - No grades
82679,MARKETING-P01,263,336,Segundo Semestre - 2025-Periodo Completo,46,0,0.0,0.0,,0,10,SKIP - No grades
87387,QUÍMICA Y MEDIO AMBIENTE-P01,263,336,Segundo Semestre - 2025-Periodo Completo,54,0,0.0,0.0,,0,14,SKIP - No grades
87400,QUÍMICA Y MEDIO AMBIENTE-P07,263,336,Segundo Semestre - 2025-Periodo Completo,54,0,0.0,0.0,,0,11,SKIP - No grades
87967,TEORÍA ORGANIZACIONAL-P02,263,336,Segundo Semestre - 2025-Periodo Completo,31,0,0.0,0.0,,0,10,SKIP - No grades
