,avg_page_views,avg_participations,avg_page_views_level,avg_participations_level,avg_on_time_rate,avg_late_rate,avg_missing_rate,grade_mean,grade_std,failure_rate,assignment_count,graded_assignment_count,students_active_last_7_days,avg_days_since_last_login,activity_engagement_score,tardiness_score,activity_prediction_score
avg_page_views,1.0,0.24198314036195945,-0.09762683307559417,0.13851560513308872,0.2670969449251228,0.05200198248150223,0.13688795092075656,0.2639140746841885,0.12840593710108217,0.06309328698691677,0.12623082534849123,0.29274158917366117,-0.044354756377959347,-0.03726395485187022,0.5391948524387633,0.2614156761925081,0.3205934195079692
avg_participations,0.24198314036195945,1.0,-0.011497366817250604,0.2738223124127264,0.5337846357156234,0.21279229754722173,0.3222262789210644,0.4769033711375386,0.29689585197772145,0.30155324005496026,0.44065004147356707,0.7592420099762365,-0.02517580950808809,-0.1040365521320264,0.2971901834343592,0.6692752142895235,0.6593123371471334
avg_page_views_level,-0.09762683307559417,-0.011497366817250604,1.0,-0.06173053089793437,-0.05502323635942097,-0.03172347493448436,-0.061097149023945585,-0.0034839976793088158,0.003825970961404572,-0.005434899386422821,-0.03279965992890552,-0.017311815206571324,-0.0008719122752726161,-0.0036202764003075796,-0.1639552603989616,-0.049177557024527474,-0.055296057823080155
avg_participations_level,0.13851560513308872,0.2738223124127264,-0.06173053089793437,1.0,0.44286740235102784,0.168906387019638,0.4552788543654435,0.24101922210108,0.13651509517682242,0.1305285796602441,0.09973758962840941,0.21297676884685243,-0.044681026770596086,-0.08248554694934837,0.5086941649494119,0.504209032510752,0.33654899994294063
avg_on_time_rate,0.2670969449251228,0.5337846357156234,-0.05502323635942097,0.44286740235102784,1.0,0.12776088151016887,0.19948334279469596,0.48260078030344356,0.281799799870922,0.21941469647504475,0.24376910698023188,0.4958184586490411,-0.035661271017378426,-0.09198829996052914,0.35075951020866963,0.8177373229009328,0.6682275212563846
avg_late_rate,0.05200198248150223,0.21279229754722173,-0.03172347493448436,0.168906387019638,0.12776088151016887,1.0,0.22282382940727913,0.22115878450011126,0.12120576403480536,0.06284494846090871,0.044600494983284764,0.12319923759612314,-0.018950791111960304,-0.06491721539295957,0.1532108226714361,0.2922246977057261,0.26313361164640525
avg_missing_rate,0.13688795092075656,0.3222262789210644,-0.061097149023945585,0.4552788543654435,0.19948334279469596,0.22282382940727913,1.0,0.23734442743537776,0.15590962663255895,0.1726919603262829,0.30325564025508456,0.19845264328503984,0.007783061320424884,-0.12277305060374127,0.3569402511347807,0.5341456762832869,0.27354642746002256
grade_mean,0.2639140746841885,0.4769033711375386,-0.0034839976793088158,0.24101922210108,0.48260078030344356,0.22115878450011126,0.23734442743537776,1.0,0.6875484658931925,0.23133410052366427,0.23679026500641698,0.5610434579213012,-0.011796812291272945,-0.09336512093152506,0.26008383916847844,0.5272690198151558,0.7978454215477717
grade_std,0.12840593710108217,0.29689585197772145,0.003825970961404572,0.13651509517682242,0.281799799870922,0.12120576403480536,0.15590962663255895,0.6875484658931925,1.0,0.28005107791709843,0.11215286696324707,0.34357893624486,-0.027672036229817776,-0.04725852940990741,0.1610786199708807,0.3475511225476018,0.5562901232669069
failure_rate,0.06309328698691677,0.30155324005496026,-0.005434899386422821,0.1305285796602441,0.21941469647504475,0.06284494846090871,0.1726919603262829,0.23133410052366427,0.28005107791709843,1.0,0.14491015097940313,0.34039633289750926,0.04315181685476618,-0.08320991611833935,0.12609646625504228,0.28586337536716794,0.4050658025921727
assignment_count,0.12623082534849123,0.44065004147356707,-0.03279965992890552,0.09973758962840941,0.24376910698023188,0.044600494983284764,0.30325564025508456,0.23679026500641698,0.11215286696324707,0.14491015097940313,1.0,0.41643072899594585,0.0053792580048358666,-0.08732234338908644,0.16591006161382485,0.3012810011636883,0.32994626552391965
graded_assignment_count,0.29274158917366117,0.7592420099762365,-0.017311815206571324,0.21297676884685243,0.4958184586490411,0.12319923759612314,0.19845264328503984,0.5610434579213012,0.34357893624486,0.34039633289750926,0.41643072899594585,1.0,0.00826012493341342,-0.12288877255832838,0.2662347110780353,0.5490733561477844,0.7324797476487819
students_active_last_7_days,-0.044354756377959347,-0.02517580950808809,-0.0008719122752726161,-0.044681026770596086,-0.035661271017378426,-0.018950791111960304,0.007783061320424884,-0.011796812291272945,-0.027672036229817776,0.04315181685476618,0.0053792580048358666,0.00826012493341342,1.0,-0.4871902122267059,-0.016445333318910512,-0.0444813132660648,-0.014267170112281177
avg_days_since_last_login,-0.03726395485187022,-0.1040365521320264,-0.0036202764003075796,-0.08248554694934837,-0.09198829996052914,-0.06491721539295957,-0.12277305060374127,-0.09336512093152506,-0.04725852940990741,-0.08320991611833935,-0.08732234338908644,-0.12288877255832838,-0.4871902122267059,1.0,-0.13775708570807216,-0.12103273773716149,-0.12084584601758694
activity_engagement_score,0.5391948524387633,0.2971901834343592,-0.1639552603989616,0.5086941649494119,0.35075951020866963,0.1532108226714361,0.3569402511347807,0.26008383916847844,0.1610786199708807,0.12609646625504228,0.16591006161382485,0.2662347110780353,-0.016445333318910512,-0.13775708570807216,1.0,0.4088478091397996,0.3888911613056221
tardiness_score,0.2614156761925081,0.6692752142895235,-0.049177557024527474,0.504209032510752,0.8177373229009328,0.2922246977057261,0.5341456762832869,0.5272690198151558,0.3475511225476018,0.28586337536716794,0.3012810011636883,0.5490733561477844,-0.0444813132660648,-0.12103273773716149,0.4088478091397996,1.0,0.7455857171561268
