course_id,course_name,account_id,term_id,term_name,total_students,active_students,students_with_grades,grade_coverage,grade_mean,grade_std,grade_min,grade_max,grade_median,failing_count,passing_count,failure_rate,students_with_activity,activity_coverage,total_page_views,total_participations,avg_page_views,avg_participations,median_page_views,median_participations,avg_page_views_level,avg_participations_level,avg_on_time_rate,avg_late_rate,avg_missing_rate,total_on_time,total_late,total_missing,assignment_count,graded_assignment_count,avg_assignment_median,avg_assignment_missing_rate,assignments_with_high_missing,students_active_last_7_days,students_active_last_30_days,avg_days_since_last_login,total_activity_days,avg_daily_views,avg_daily_participations,peak_activity_day,activity_engagement_score,tardiness_score,recency_score,grade_quality_score,activity_prediction_score,analysis_timestamp,api_errors,campus
81759,MATEMÁTICAS PARA LA GESTIÓN II-P03,246,336,Segundo Semestre - 2025-Periodo Completo,26,26,26,100.0,67.00538461538461,35.5439237260907,0.0,103.0,82.75,7,19,0.2692307692307692,27,100.0,20868,208,772.8888888888889,7.703703703703703,759.0,9.0,2.037037037037037,2.2916666666666665,0.565330348663682,0.0,0.434669651336318,189,0,108,21,12,76.83333333333333,0.3205128205128205,6,1,10,19.1,142,139.4154929577465,1.471830985915493,2025-08-18,86.07253086419753,100.0,100.0,100.0,95.8,2025-12-26T16:48:20.306490,[],Providencia
86006,ÁLGEBRA Y GEOMETRÍA-S04,230,336,Segundo Semestre - 2025-Periodo Completo,18,18,18,100.0,67.65888888888888,28.369872771053306,0.0,100.0,78.4,4,14,0.2222222222222222,19,100.0,9463,54,498.05263157894734,2.8421052631578947,389.0,3.0,2.0526315789473686,2.5,0.6206140350877193,0.0,0.3793859649122807,83,0,42,8,8,69.0,0.4305555555555556,4,0,10,21.8,112,72.09821428571429,0.4464285714285714,2025-11-24,87.84122807017545,100.0,100.0,97.82649702807107,95.7,2025-12-26T16:44:44.870612,[],San Miguel
85999,TALL DE COMPETENCIAS DIGITALES-S04,230,336,Segundo Semestre - 2025-Periodo Completo,26,26,26,100.0,50.78346153846154,31.464217256090475,0.0,96.0,53.834999999999994,14,12,0.5384615384615384,27,100.0,13671,280,506.3333333333333,10.37037037037037,384.0,12.0,2.037037037037037,2.076923076923077,0.5930461604481212,0.0139654009752048,0.3929884385766738,231,6,137,18,18,75.22222222222223,0.4935897435897436,11,0,10,18.7,134,93.32835820895522,1.8955223880597016,2025-12-04,84.28300094966762,100.0,100.0,100.0,95.3,2025-12-26T16:44:44.449976,[],San Miguel
87611,TALL DE COMPETENCIAS DIGITALES-T07,180,336,Segundo Semestre - 2025-Periodo Completo,29,29,29,100.0,65.09896551724138,29.82311595591911,0.0,97.4,74.63,7,22,0.2413793103448276,29,100.0,18470,292,636.8965517241379,10.06896551724138,575.0,9.0,2.0,2.0714285714285716,0.7181054915334835,0.1071781188160498,0.1747163896504667,233,26,31,18,18,58.44444444444444,0.5038314176245211,13,1,10,13.1,124,137.78225806451613,2.2096774193548385,2025-08-17,83.92857142857143,100.0,100.0,99.76415460789217,95.1,2025-12-26T16:41:21.050049,[],Temuco
87240,TALL DE COMPETENCIAS DIGITALES-T06,180,336,Segundo Semestre - 2025-Periodo Completo,25,25,25,100.0,45.1556,28.59189688239193,0.0,78.96,52.2,14,11,0.56,26,100.0,13436,266,516.7692307692307,10.23076923076923,495.0,12.0,2.0,2.1666666666666665,0.7724219219694333,0.0,0.2275780780305667,238,0,53,18,18,59.111111111111114,0.4711111111111111,11,2,10,16.4,135,95.9851851851852,1.837037037037037,2025-11-21,84.72222222222221,100.0,100.0,98.12252917652258,94.9,2025-12-26T16:41:16.763018,[],Temuco
86017,ÁLGEBRA Y GEOMETRÍA-S01,230,336,Segundo Semestre - 2025-Periodo Completo,29,29,29,100.0,67.31620689655172,29.498280145240564,0.0,96.43,77.43,6,23,0.2068965517241379,30,100.0,12313,74,410.43333333333334,2.466666666666667,392.5,2.0,2.0,2.3076923076923075,0.7071031746031746,0.0,0.2928968253968254,145,0,48,8,8,66.5,0.375,4,1,10,15.2,126,83.46825396825396,0.5476190476190477,2025-11-23,81.41910256410256,100.0,100.0,99.33104019365408,94.2,2025-12-26T16:44:53.324475,[],San Miguel
81939,TALLER DE HABILID. PROF. II-P02,247,336,Segundo Semestre - 2025-Periodo Completo,32,32,32,100.0,80.6278125,28.326382633950985,6.67,100.0,94.165,6,26,0.1875,33,100.0,31921,197,967.3030303030304,5.96969696969697,1024.0,6.0,2.0,2.206896551724138,0.425374961738598,0.0360881542699724,0.5385368839914294,153,13,181,11,8,12.835,0.5284090909090909,6,0,10,23.6,136,182.46323529411765,1.3455882352941178,2025-09-01,85.05747126436782,92.29262320171412,100.0,97.76851017860132,92.9,2025-12-26T16:49:05.397099,[],Providencia
80793,DIBUJO Y MODELADO DIGITAL-S03,230,336,Segundo Semestre - 2025-Periodo Completo,24,24,22,91.66666666666666,49.69,28.528525407121236,5.01,100.0,39.06,14,8,0.6363636363636364,24,100.0,9232,137,384.6666666666667,5.708333333333333,301.5,6.5,2.0,2.272727272727273,0.5277777777777778,0.0601851851851851,0.412037037037037,114,13,89,9,8,6.678,0.412037037037037,5,0,10,19.6,114,68.93859649122807,1.219298245614035,2025-11-06,79.83939393939394,100.0,100.0,94.7047005428283,92.4,2025-12-26T16:43:54.295445,[],San Miguel
86075,FUNDAMENTOS DE MATEMÁTICAS-T04,178,336,Segundo Semestre - 2025-Periodo Completo,35,35,34,97.14285714285714,68.1885294117647,16.430229370455404,23.06,97.13,74.235,10,24,0.2941176470588235,36,100.0,31353,130,870.9166666666666,3.611111111111111,664.5,4.0,2.0,2.3333333333333335,0.5723379629629629,0.0,0.427662037037037,291,0,216,32,16,55.35625,0.1830357142857142,7,2,10,11.3,143,179.0979020979021,0.916083916083916,2025-08-13,86.11111111111111,100.0,100.0,80.7641153510834,90.1,2025-12-26T16:39:00.673063,[],Temuco
81879,QUÍMICA ORGÁNICA-P01,251,336,Segundo Semestre - 2025-Periodo Completo,40,40,38,95.0,102.275,32.45613470100421,63.82,195.33,87.845,0,38,0.0,40,100.0,89907,45,2247.675,1.125,2158.5,1.0,2.0,2.5833333333333335,0.6524267399267399,0.0,0.34757326007326,343,0,184,17,12,6.833333333333333,0.2705882352941176,3,1,10,15.1,150,466.4866666666667,0.3,2025-08-27,88.19444444444444,100.0,100.0,78.0,89.9,2025-12-26T16:50:22.957986,[],Providencia
