var1,var2,correlation,abs_corr
avg_on_time_rate,tardiness_score,0.8177373229009328,0.8177373229009328
grade_mean,activity_prediction_score,0.7978454215477717,0.7978454215477717
avg_participations,graded_assignment_count,0.7592420099762365,0.7592420099762365
tardiness_score,activity_prediction_score,0.7455857171561268,0.7455857171561268
graded_assignment_count,activity_prediction_score,0.7324797476487819,0.7324797476487819
grade_mean,grade_std,0.6875484658931925,0.6875484658931925
avg_participations,tardiness_score,0.6692752142895235,0.6692752142895235
avg_on_time_rate,activity_prediction_score,0.6682275212563846,0.6682275212563846
avg_participations,activity_prediction_score,0.6593123371471334,0.6593123371471334
grade_mean,graded_assignment_count,0.5610434579213012,0.5610434579213012
grade_std,activity_prediction_score,0.5562901232669069,0.5562901232669069
graded_assignment_count,tardiness_score,0.5490733561477844,0.5490733561477844
avg_page_views,activity_engagement_score,0.5391948524387633,0.5391948524387633
avg_missing_rate,tardiness_score,0.5341456762832869,0.5341456762832869
avg_participations,avg_on_time_rate,0.5337846357156234,0.5337846357156234
grade_mean,tardiness_score,0.5272690198151558,0.5272690198151558
avg_participations_level,activity_engagement_score,0.5086941649494119,0.5086941649494119
avg_participations_level,tardiness_score,0.504209032510752,0.504209032510752
avg_on_time_rate,graded_assignment_count,0.4958184586490411,0.4958184586490411
students_active_last_7_days,avg_days_since_last_login,-0.4871902122267059,0.4871902122267059
avg_on_time_rate,grade_mean,0.48260078030344356,0.48260078030344356
avg_participations,grade_mean,0.4769033711375386,0.4769033711375386
avg_participations_level,avg_missing_rate,0.4552788543654435,0.4552788543654435
avg_participations_level,avg_on_time_rate,0.44286740235102784,0.44286740235102784
avg_participations,assignment_count,0.44065004147356707,0.44065004147356707
assignment_count,graded_assignment_count,0.41643072899594585,0.41643072899594585
activity_engagement_score,tardiness_score,0.4088478091397996,0.4088478091397996
failure_rate,activity_prediction_score,0.4050658025921727,0.4050658025921727
activity_engagement_score,activity_prediction_score,0.3888911613056221,0.3888911613056221
avg_missing_rate,activity_engagement_score,0.3569402511347807,0.3569402511347807
avg_on_time_rate,activity_engagement_score,0.35075951020866963,0.35075951020866963
grade_std,tardiness_score,0.3475511225476018,0.3475511225476018
grade_std,graded_assignment_count,0.34357893624486,0.34357893624486
failure_rate,graded_assignment_count,0.34039633289750926,0.34039633289750926
avg_participations_level,activity_prediction_score,0.33654899994294063,0.33654899994294063
assignment_count,activity_prediction_score,0.32994626552391965,0.32994626552391965
avg_participations,avg_missing_rate,0.3222262789210644,0.3222262789210644
avg_page_views,activity_prediction_score,0.3205934195079692,0.3205934195079692
avg_missing_rate,assignment_count,0.30325564025508456,0.30325564025508456
avg_participations,failure_rate,0.30155324005496026,0.30155324005496026
assignment_count,tardiness_score,0.3012810011636883,0.3012810011636883
avg_participations,activity_engagement_score,0.2971901834343592,0.2971901834343592
avg_participations,grade_std,0.29689585197772145,0.29689585197772145
avg_page_views,graded_assignment_count,0.29274158917366117,0.29274158917366117
avg_late_rate,tardiness_score,0.2922246977057261,0.2922246977057261
failure_rate,tardiness_score,0.28586337536716794,0.28586337536716794
avg_on_time_rate,grade_std,0.281799799870922,0.281799799870922
grade_std,failure_rate,0.28005107791709843,0.28005107791709843
avg_participations,avg_participations_level,0.2738223124127264,0.2738223124127264
avg_missing_rate,activity_prediction_score,0.27354642746002256,0.27354642746002256
avg_page_views,avg_on_time_rate,0.2670969449251228,0.2670969449251228
graded_assignment_count,activity_engagement_score,0.2662347110780353,0.2662347110780353
avg_page_views,grade_mean,0.2639140746841885,0.2639140746841885
avg_late_rate,activity_prediction_score,0.26313361164640525,0.26313361164640525
avg_page_views,tardiness_score,0.2614156761925081,0.2614156761925081
grade_mean,activity_engagement_score,0.26008383916847844,0.26008383916847844
avg_on_time_rate,assignment_count,0.24376910698023188,0.24376910698023188
avg_page_views,avg_participations,0.24198314036195945,0.24198314036195945
avg_participations_level,grade_mean,0.24101922210108,0.24101922210108
avg_missing_rate,grade_mean,0.23734442743537776,0.23734442743537776
grade_mean,assignment_count,0.23679026500641698,0.23679026500641698
grade_mean,failure_rate,0.23133410052366427,0.23133410052366427
avg_late_rate,avg_missing_rate,0.22282382940727913,0.22282382940727913
avg_late_rate,grade_mean,0.22115878450011126,0.22115878450011126
avg_on_time_rate,failure_rate,0.21941469647504475,0.21941469647504475
avg_participations_level,graded_assignment_count,0.21297676884685243,0.21297676884685243
avg_participations,avg_late_rate,0.21279229754722173,0.21279229754722173
avg_on_time_rate,avg_missing_rate,0.19948334279469596,0.19948334279469596
avg_missing_rate,graded_assignment_count,0.19845264328503984,0.19845264328503984
avg_missing_rate,failure_rate,0.1726919603262829,0.1726919603262829
avg_participations_level,avg_late_rate,0.168906387019638,0.168906387019638
assignment_count,activity_engagement_score,0.16591006161382485,0.16591006161382485
avg_page_views_level,activity_engagement_score,-0.1639552603989616,0.1639552603989616
grade_std,activity_engagement_score,0.1610786199708807,0.1610786199708807
avg_missing_rate,grade_std,0.15590962663255895,0.15590962663255895
avg_late_rate,activity_engagement_score,0.1532108226714361,0.1532108226714361
failure_rate,assignment_count,0.14491015097940313,0.14491015097940313
avg_page_views,avg_participations_level,0.13851560513308872,0.13851560513308872
avg_days_since_last_login,activity_engagement_score,-0.13775708570807216,0.13775708570807216
avg_page_views,avg_missing_rate,0.13688795092075656,0.13688795092075656
avg_participations_level,grade_std,0.13651509517682242,0.13651509517682242
avg_participations_level,failure_rate,0.1305285796602441,0.1305285796602441
avg_page_views,grade_std,0.12840593710108217,0.12840593710108217
avg_on_time_rate,avg_late_rate,0.12776088151016887,0.12776088151016887
avg_page_views,assignment_count,0.12623082534849123,0.12623082534849123
failure_rate,activity_engagement_score,0.12609646625504228,0.12609646625504228
avg_late_rate,graded_assignment_count,0.12319923759612314,0.12319923759612314
graded_assignment_count,avg_days_since_last_login,-0.12288877255832838,0.12288877255832838
avg_missing_rate,avg_days_since_last_login,-0.12277305060374127,0.12277305060374127
avg_late_rate,grade_std,0.12120576403480536,0.12120576403480536
avg_days_since_last_login,tardiness_score,-0.12103273773716149,0.12103273773716149
avg_days_since_last_login,activity_prediction_score,-0.12084584601758694,0.12084584601758694
grade_std,assignment_count,0.11215286696324707,0.11215286696324707
avg_participations,avg_days_since_last_login,-0.1040365521320264,0.1040365521320264
avg_participations_level,assignment_count,0.09973758962840941,0.09973758962840941
avg_page_views,avg_page_views_level,-0.09762683307559417,0.09762683307559417
grade_mean,avg_days_since_last_login,-0.09336512093152506,0.09336512093152506
avg_on_time_rate,avg_days_since_last_login,-0.09198829996052914,0.09198829996052914
assignment_count,avg_days_since_last_login,-0.08732234338908644,0.08732234338908644
failure_rate,avg_days_since_last_login,-0.08320991611833935,0.08320991611833935
avg_participations_level,avg_days_since_last_login,-0.08248554694934837,0.08248554694934837
avg_late_rate,avg_days_since_last_login,-0.06491721539295957,0.06491721539295957
avg_page_views,failure_rate,0.06309328698691677,0.06309328698691677
avg_late_rate,failure_rate,0.06284494846090871,0.06284494846090871
avg_page_views_level,avg_participations_level,-0.06173053089793437,0.06173053089793437
avg_page_views_level,avg_missing_rate,-0.061097149023945585,0.061097149023945585
avg_page_views_level,activity_prediction_score,-0.055296057823080155,0.055296057823080155
avg_page_views_level,avg_on_time_rate,-0.05502323635942097,0.05502323635942097
avg_page_views,avg_late_rate,0.05200198248150223,0.05200198248150223
avg_page_views_level,tardiness_score,-0.049177557024527474,0.049177557024527474
grade_std,avg_days_since_last_login,-0.04725852940990741,0.04725852940990741
avg_participations_level,students_active_last_7_days,-0.044681026770596086,0.044681026770596086
avg_late_rate,assignment_count,0.044600494983284764,0.044600494983284764
students_active_last_7_days,tardiness_score,-0.0444813132660648,0.0444813132660648
avg_page_views,students_active_last_7_days,-0.044354756377959347,0.044354756377959347
failure_rate,students_active_last_7_days,0.04315181685476618,0.04315181685476618
avg_page_views,avg_days_since_last_login,-0.03726395485187022,0.03726395485187022
